,long_name,player_positions,overall,value_eur,age,club_position,preferred_foot,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure
0,Lionel Andrés Messi Cuccittini,"RW, ST, CF",93,78000000.0,34,RW,Left,4,4,5,85.0,92.0,91.0,95.0,34.0,65.0,85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96
1,Robert Lewandowski,ST,92,119500000.0,32,ST,Right,4,4,5,78.0,92.0,79.0,86.0,44.0,82.0,71,95,90,85,89,85,79,85,70,88,77,79,77,93,82,90,85,76,86,87,81,49,95,81,90,88
2,Cristiano Ronaldo dos Santos Aveiro,"ST, LW",91,45000000.0,36,ST,Right,4,5,5,87.0,94.0,80.0,88.0,34.0,75.0,87,95,90,80,86,88,81,84,77,88,85,88,86,94,74,94,95,77,77,93,63,29,95,76,88,95
3,Neymar da Silva Santos Júnior,"LW, CAM",91,129000000.0,29,LW,Right,5,5,5,91.0,83.0,86.0,94.0,37.0,63.0,85,83,63,86,86,95,88,87,81,95,93,89,96,89,84,80,64,81,53,81,63,37,86,90,93,93
6,Kylian Mbappé Lottin,"ST, LW",91,194000000.0,22,ST,Right,4,5,4,97.0,88.0,80.0,92.0,36.0,77.0,78,93,72,85,83,93,80,69,71,91,97,97,92,93,83,86,78,88,77,82,62,38,92,82,79,88
9,Harry Kane,ST,90,129500000.0,27,ST,Right,5,3,4,70.0,91.0,83.0,83.0,47.0,83.0,80,94,86,85,88,83,83,65,86,85,65,74,71,92,70,91,79,83,85,86,80,44,94,87,91,91
11,Karim Benzema,"CF, ST",89,66000000.0,33,CF,Right,4,4,4,76.0,86.0,81.0,87.0,39.0,77.0,75,90,89,86,86,87,81,73,73,90,77,75,79,91,72,85,79,78,82,79,63,39,90,87,84,90
16,Sadio Mané,LW,89,101000000.0,29,LW,Right,4,4,4,91.0,83.0,80.0,89.0,44.0,77.0,78,86,84,84,75,90,77,64,71,88,93,90,93,91,88,83,87,85,72,80,75,35,90,84,71,84
17,Mohamed Salah Ghaly,RW,89,101000000.0,29,RW,Left,3,4,4,90.0,87.0,81.0,90.0,45.0,75.0,79,91,59,84,81,90,83,69,75,89,89,91,91,92,91,82,69,85,75,84,63,55,91,83,86,90
23,Luis Alberto Suárez Díaz,ST,88,44500000.0,34,RS,Right,4,3,5,72.0,90.0,82.0,84.0,47.0,83.0,80,93,84,83,90,83,86,82,77,86,76,69,75,92,78,89,69,78,85,88,87,41,91,84,83,87
25,Romelu Lukaku Menama,ST,88,93500000.0,28,ST,Left,4,3,4,84.0,87.0,74.0,78.0,39.0,83.0,73,92,89,77,78,83,78,66,70,77,81,87,60,91,52,89,76,71,95,74,71,27,89,75,88,86
27,Raheem Sterling,"LW, RW",88,107500000.0,26,SUB,Right,3,4,4,91.0,82.0,79.0,87.0,45.0,66.0,79,85,46,83,67,87,79,72,69,86,95,88,94,90,93,78,57,79,64,83,59,30,91,82,67,78
